4,0.10646,Bone1HipsForwardY
8,0.10715,Bone1HipsUpZ
9,0.26288,Bone1HipsVelocityX
11,0.65894,Bone1HipsVelocityZ
21,0.26456,Bone2ChestVelocityX
23,0.6433,Bone2ChestVelocityZ
33,0.23848,Bone3Chest2VelocityX
35,0.64089,Bone3Chest2VelocityZ
45,0.22863,Bone4Chest3VelocityX
47,0.66499,Bone4Chest3VelocityZ
57,0.23155,Bone5Chest4VelocityX
59,0.67584,Bone5Chest4VelocityZ
65,0.12879,Bone6NeckForwardZ
67,0.10324,Bone6NeckUpY
69,0.21175,Bone6NeckVelocityX
71,0.69138,Bone6NeckVelocityZ
76,0.19972,Bone7HeadForwardY
77,0.33098,Bone7HeadForwardZ
79,0.12635,Bone7HeadUpY
80,0.112,Bone7HeadUpZ
81,0.20788,Bone7HeadVelocityX
83,0.7012,Bone7HeadVelocityZ
93,0.21156,Bone8RightCollarVelocityX
95,0.68671,Bone8RightCollarVelocityZ
99,0.12379,Bone9RightShoulderForwardX
100,0.20315,Bone9RightShoulderForwardY
101,0.10857,Bone9RightShoulderForwardZ
104,0.10251,Bone9RightShoulderUpZ
105,0.23957,Bone9RightShoulderVelocityX
107,0.76876,Bone9RightShoulderVelocityZ
111,0.47293,Bone10RightElbowForwardX
112,0.25933,Bone10RightElbowForwardY
113,0.21651,Bone10RightElbowForwardZ
115,0.23778,Bone10RightElbowUpY
116,0.30307,Bone10RightElbowUpZ
117,0.26584,Bone10RightElbowVelocityX
119,0.77944,Bone10RightElbowVelocityZ
123,0.57947,Bone11RightWristForwardX
124,0.34929,Bone11RightWristForwardY
125,0.21264,Bone11RightWristForwardZ
126,0.10474,Bone11RightWristUpX
127,0.20377,Bone11RightWristUpY
128,0.34363,Bone11RightWristUpZ
129,0.27604,Bone11RightWristVelocityX
130,0.15668,Bone11RightWristVelocityY
131,0.82243,Bone11RightWristVelocityZ
141,0.22241,Bone12LeftCollarVelocityX
143,0.67106,Bone12LeftCollarVelocityZ
147,0.11761,Bone13LeftShoulderForwardX
148,0.22232,Bone13LeftShoulderForwardY
152,0.13419,Bone13LeftShoulderUpZ
153,0.21894,Bone13LeftShoulderVelocityX
155,0.60576,Bone13LeftShoulderVelocityZ
159,0.4355,Bone14LeftElbowForwardX
160,0.2722,Bone14LeftElbowForwardY
161,0.10753,Bone14LeftElbowForwardZ
163,0.35359,Bone14LeftElbowUpY
164,0.18578,Bone14LeftElbowUpZ
165,0.19126,Bone14LeftElbowVelocityX
167,0.55897,Bone14LeftElbowVelocityZ
171,0.62136,Bone15LeftWristForwardX
172,0.33877,Bone15LeftWristForwardY
174,0.10251,Bone15LeftWristUpX
175,0.38094,Bone15LeftWristUpY
176,0.33709,Bone15LeftWristUpZ
177,0.13165,Bone15LeftWristVelocityX
179,0.51007,Bone15LeftWristVelocityZ
183,0.12111,Bone16RightHipForwardX
189,0.25163,Bone16RightHipVelocityX
191,0.69268,Bone16RightHipVelocityZ
195,0.11367,Bone17RightKneeForwardX
201,0.22712,Bone17RightKneeVelocityX
203,0.65418,Bone17RightKneeVelocityZ
207,0.20058,Bone18RightAnkleForwardX
213,0.31312,Bone18RightAnkleVelocityX
214,0.15151,Bone18RightAnkleVelocityY
215,0.75084,Bone18RightAnkleVelocityZ
219,0.20492,Bone19RightToeForwardX
225,0.34199,Bone19RightToeVelocityX
226,0.1033,Bone19RightToeVelocityY
227,0.87332,Bone19RightToeVelocityZ
234,0.11082,Bone20LeftHipUpX
237,0.26611,Bone20LeftHipVelocityX
239,0.61338,Bone20LeftHipVelocityZ
249,0.19326,Bone21LeftKneeVelocityX
251,0.70015,Bone21LeftKneeVelocityZ
255,0.13135,Bone22LeftAnkleForwardX
261,0.37592,Bone22LeftAnkleVelocityX
263,0.79614,Bone22LeftAnkleVelocityZ
267,0.12912,Bone23LeftToeForwardX
273,0.32934,Bone23LeftToeVelocityX
274,0.16,Bone23LeftToeVelocityY
275,0.8032,Bone23LeftToeVelocityZ
276,0.10666,InverseBone1HipsPositionX
278,0.94529,InverseBone1HipsPositionZ
279,0.10559,InverseBone2ChestPositionX
281,0.96565,InverseBone2ChestPositionZ
284,0.97574,InverseBone3Chest2PositionZ
287,0.97449,InverseBone4Chest3PositionZ
290,0.96929,InverseBone5Chest4PositionZ
293,0.98361,InverseBone6NeckPositionZ
296,0.97858,InverseBone7HeadPositionZ
299,0.96873,InverseBone8RightCollarPositionZ
302,1.00017,InverseBone9RightShoulderPositionZ
305,0.969,InverseBone10RightElbowPositionZ
308,0.9627,InverseBone11RightWristPositionZ
311,0.97359,InverseBone12LeftCollarPositionZ
312,0.11728,InverseBone13LeftShoulderPositionX
314,0.93914,InverseBone13LeftShoulderPositionZ
315,0.12649,InverseBone14LeftElbowPositionX
317,0.89579,InverseBone14LeftElbowPositionZ
318,0.17115,InverseBone15LeftWristPositionX
320,0.92626,InverseBone15LeftWristPositionZ
323,0.97197,InverseBone16RightHipPositionZ
326,0.99962,InverseBone17RightKneePositionZ
327,0.10012,InverseBone18RightAnklePositionX
329,1.05074,InverseBone18RightAnklePositionZ
332,1.01343,InverseBone19RightToePositionZ
333,0.13183,InverseBone20LeftHipPositionX
335,0.94608,InverseBone20LeftHipPositionZ
336,0.14753,InverseBone21LeftKneePositionX
338,0.90092,InverseBone21LeftKneePositionZ
339,0.18748,InverseBone22LeftAnklePositionX
341,0.94551,InverseBone22LeftAnklePositionZ
342,0.14824,InverseBone23LeftToePositionX
344,0.91285,InverseBone23LeftToePositionZ
349,0.18413,Trajectory7Style-Idle
350,0.4385,Trajectory7Style-Walk
351,0.23725,Trajectory7Style-Run
352,0.19368,Trajectory7Style-Carry
357,0.14173,Trajectory8PositionZ
360,0.18221,Trajectory8Style-Idle
361,0.45533,Trajectory8Style-Walk
362,0.23739,Trajectory8Style-Run
363,0.18826,Trajectory8Style-Carry
367,0.1159,Trajectory9PositionX
368,0.27056,Trajectory9PositionZ
369,0.10222,Trajectory9DirectionX
371,0.19211,Trajectory9Style-Idle
372,0.48058,Trajectory9Style-Walk
373,0.24985,Trajectory9Style-Run
374,0.18831,Trajectory9Style-Carry
378,0.1712,Trajectory10PositionX
379,0.41266,Trajectory10PositionZ
380,0.1419,Trajectory10DirectionX
381,0.1251,Trajectory10DirectionZ
382,0.20344,Trajectory10Style-Idle
383,0.48,Trajectory10Style-Walk
384,0.24879,Trajectory10Style-Run
385,0.17955,Trajectory10Style-Carry
389,0.24161,Trajectory11PositionX
390,0.54197,Trajectory11PositionZ
391,0.17972,Trajectory11DirectionX
392,0.19263,Trajectory11DirectionZ
393,0.22179,Trajectory11Style-Idle
394,0.49613,Trajectory11Style-Walk
395,0.23728,Trajectory11Style-Run
396,0.18,Trajectory11Style-Carry
400,0.31725,Trajectory12PositionX
401,0.70055,Trajectory12PositionZ
402,0.17784,Trajectory12DirectionX
403,0.26525,Trajectory12DirectionZ
404,0.24332,Trajectory12Style-Idle
