[231],Bone20LeftHipForwardX,1
[232],Bone20LeftHipForwardY,1
[233],Bone20LeftHipForwardZ,1
[235],Bone20LeftHipUpY,1
[236],Bone20LeftHipUpZ,1
[238],Bone20LeftHipVelocityY,1
[240],Bone21LeftKneePositionX,1
[241],Bone21LeftKneePositionY,1
[242],Bone21LeftKneePositionZ,1
[243],Bone21LeftKneeForwardX,1
[244],Bone21LeftKneeForwardY,1
[245],Bone21LeftKneeForwardZ,1
[246],Bone21LeftKneeUpX,1
[247],Bone21LeftKneeUpY,1
[248],Bone21LeftKneeUpZ,1
[250],Bone21LeftKneeVelocityY,1
[252],Bone22LeftAnklePositionX,1
[253],Bone22LeftAnklePositionY,1
[254],Bone22LeftAnklePositionZ,1
[256],Bone22LeftAnkleForwardY,1
[257],Bone22LeftAnkleForwardZ,1
[258],Bone22LeftAnkleUpX,1
[259],Bone22LeftAnkleUpY,1
[260],Bone22LeftAnkleUpZ,1
[262],Bone22LeftAnkleVelocityY,1
[264],Bone23LeftToePositionX,1
[265],Bone23LeftToePositionY,1
[266],Bone23LeftToePositionZ,1
[268],Bone23LeftToeForwardY,1
[269],Bone23LeftToeForwardZ,1
[270],Bone23LeftToeUpX,1
[271],Bone23LeftToeUpY,1
[272],Bone23LeftToeUpZ,1
[277],InverseBone1HipsPositionY,1
[280],InverseBone2ChestPositionY,1
[282],InverseBone3Chest2PositionX,1
[283],InverseBone3Chest2PositionY,1
[285],InverseBone4Chest3PositionX,1
[286],InverseBone4Chest3PositionY,1
[288],InverseBone5Chest4PositionX,1
[289],InverseBone5Chest4PositionY,1
[291],InverseBone6NeckPositionX,1
[292],InverseBone6NeckPositionY,1
[294],InverseBone7HeadPositionX,1
[295],InverseBone7HeadPositionY,1
[297],InverseBone8RightCollarPositionX,1
[298],InverseBone8RightCollarPositionY,1
[300],InverseBone9RightShoulderPositionX,1
[301],InverseBone9RightShoulderPositionY,1
[303],InverseBone10RightElbowPositionX,1
[304],InverseBone10RightElbowPositionY,1
[306],InverseBone11RightWristPositionX,1
[307],InverseBone11RightWristPositionY,1
[309],InverseBone12LeftCollarPositionX,1
[310],InverseBone12LeftCollarPositionY,1
[313],InverseBone13LeftShoulderPositionY,1
[316],InverseBone14LeftElbowPositionY,1
[319],InverseBone15LeftWristPositionY,1
[321],InverseBone16RightHipPositionX,1
[322],InverseBone16RightHipPositionY,1
[324],InverseBone17RightKneePositionX,1
[325],InverseBone17RightKneePositionY,1
[328],InverseBone18RightAnklePositionY,1
[330],InverseBone19RightToePositionX,1
[331],InverseBone19RightToePositionY,1
[334],InverseBone20LeftHipPositionY,1
[337],InverseBone21LeftKneePositionY,1
[340],InverseBone22LeftAnklePositionY,1
[343],InverseBone23LeftToePositionY,1
[345],Trajectory7PositionX,1
[346],Trajectory7PositionZ,1
[347],Trajectory7DirectionX,1
[348],Trajectory7DirectionZ,1
[353],Trajectory7Style-Open,1
[354],Trajectory7Style-Sit,1
[355],Trajectory7Style-Climb,1
[356],Trajectory8PositionX,1
[358],Trajectory8DirectionX,1
[359],Trajectory8DirectionZ,1
[364],Trajectory8Style-Open,1
[365],Trajectory8Style-Sit,1
[366],Trajectory8Style-Climb,1
[370],Trajectory9DirectionZ,1
[375],Trajectory9Style-Open,1
[376],Trajectory9Style-Sit,1
[377],Trajectory9Style-Climb,1
[386],Trajectory10Style-Open,1
[387],Trajectory10Style-Sit,1
[388],Trajectory10Style-Climb,1
[397],Trajectory11Style-Open,1
[398],Trajectory11Style-Sit,1
[399],Trajectory11Style-Climb,1
[408],Trajectory12Style-Open,1
[409],Trajectory12Style-Sit,1
[410],Trajectory12Style-Climb,1
[419],Trajectory13Style-Open,1
[420],Trajectory13Style-Sit,1
[421],Trajectory13Style-Climb,1
[422],InverseTrajectoryPosition-7X,1
[426],InverseTrajectoryPosition-8X,1
[428],InverseTrajectoryDirection-8X,1
[430],InverseTrajectoryPosition-9X,1
[432],InverseTrajectoryDirection-9X,1
[434],InverseTrajectoryPosition-10X,1
[436],InverseTrajectoryDirection-10X,1
[438],InverseTrajectoryPosition-11X,1
[440],InverseTrajectoryDirection-11X,1
[441],InverseTrajectoryDirection-11Z,1
[442],InverseTrajectoryPosition-12X,1
[443],InverseTrajectoryPosition-12Z,1
[444],InverseTrajectoryDirection-12X,1
[445],InverseTrajectoryDirection-12Z,1
[446],InverseTrajectoryPosition-13X,1
[448],InverseTrajectoryDirection-13X,1
[449],InverseTrajectoryDirection-13Z,1
[450],GoalPosition-1X,1
[453],GoalDirection-1X,1
[454],GoalDirection-1Y,1
[455],GoalDirection-1Z,1
[460],Action1-Open,1
[461],Action1-Sit,1
[464],GoalPosition-2Z,1
[465],GoalDirection-2X,1
[466],GoalDirection-2Y,1
[467],GoalDirection-2Z,1
[472],Action2-Open,1
[473],Action2-Sit,1
[478],GoalDirection-3Y,1
[479],GoalDirection-3Z,1
[484],Action3-Open,1
[485],Action3-Sit,1
[490],GoalDirection-4Y,1
[496],Action4-Open,1
[497],Action4-Sit,1
[502],GoalDirection-5Y,1
[508],Action5-Open,1
[514],GoalDirection-6Y,1
[520],Action6-Open,1
[525],GoalDirection-7X,1
[526],GoalDirection-7Y,1
[532],Action7-Open,1
[537],GoalDirection-8X,1
[538],GoalDirection-8Y,1
[544],Action8-Open,1
[549],GoalDirection-9X,1
[550],GoalDirection-9Y,1
[556],Action9-Open,1
[561],GoalDirection-10X,1
[562],GoalDirection-10Y,1
[568],Action10-Open,1
[573],GoalDirection-11X,1
[574],GoalDirection-11Y,1
[580],Action11-Open,1
[585],GoalDirection-12X,1
[586],GoalDirection-12Y,1
[592],Action12-Open,1
[597],GoalDirection-13X,1
[598],GoalDirection-13Y,1
[603],Action13-Carry,1
[604],Action13-Open,1
[606],Contact-1,1
[611],PhaseUpdate-7,1
[612],PhaseUpdate-8,1
[613],PhaseUpdate-9,1
[614],PhaseUpdate-10,1
[615],PhaseUpdate-11,1
[616],PhaseUpdate-12,1
[617],PhaseUpdate-13,1
